t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
0.03363651,-2.206106,-2.051782,-1.854342,-2.035048,-2.478161,-1.286943,-2.352399,-0.8348352,-1.169798,-1.718067,-3.207419,-1.856593,-3.183883,-2.496911,-2.207144,-2.850392,-1.582127,-1.057106,-4.20708,-2.060976,0.5686246,0.1507711,1.258515,0.9089923,0.341627,1.057362,0.4799636,0.5094556,0.6720671,0.4336661,0.8822179,0.947193,0.475265,0.4340861,0.66987,1.060765,0.5159733,0.8070522,0.7883751,1.535676
0.1616357,-2.307144,-2.106723,-1.952478,-2.115783,-2.606407,-1.399419,-2.471368,-0.8556619,-1.309925,-1.799612,-3.321513,-1.97305,-3.361835,-2.623983,-2.298536,-3.1114,-1.637654,-1.11683,-4.372269,-2.158068,0.5687025,0.1470664,1.261345,0.9114165,0.3523038,1.055573,0.4713393,0.5085676,0.7083264,0.4558419,0.8822575,0.9500718,0.4743621,0.430203,0.6741147,1.073102,0.5177059,0.810737,0.7904646,1.543382
0.2896348,-2.409034,-2.170604,-2.02319,-2.155794,-2.554865,-1.37533,-2.42131,-0.8664283,-1.236238,-1.808143,-3.198398,-1.863377,-3.095173,-2.379136,-2.09542,-2.604467,-1.553339,-1.009692,-3.854579,-1.953663,0.5898188,0.1477829,1.24632,0.9077994,0.3480569,1.061521,0.4812117,0.5179956,0.6915101,0.4620532,0.8911044,0.9477458,0.484082,0.4481514,0.6499631,1.069851,0.5171713,0.8014012,0.7884078,1.531009
0.417634,-2.129674,-2.063636,-1.790765,-1.950067,-2.290682,-1.105701,-2.040351,-0.7380954,-0.9905393,-1.699669,-2.937133,-1.618007,-2.759978,-2.094278,-1.899065,-2.08877,-1.455716,-0.9685928,-3.642008,-1.812827,0.5458065,0.1420217,1.253302,0.9095429,0.3536192,1.060988,0.49406,0.5151203,0.6688643,0.4684154,0.890479,0.9491113,0.4848329,0.4681071,0.6697364,1.069814,0.5141621,0.8205492,0.7855861,1.529278
0.5456331,-2.045749,-1.988044,-1.667988,-1.861692,-2.217495,-1.030041,-1.945516,-0.6790271,-1.006852,-1.662701,-2.892619,-1.597265,-2.724466,-2.097032,-1.890888,-2.126568,-1.448453,-0.9681982,-3.670887,-1.826081,0.5734603,0.1368293,1.25324,0.9093226,0.3425007,1.055989,0.4805438,0.4982032,0.6873343,0.4645555,0.8851277,0.943004,0.4832578,0.4596069,0.6556735,1.059062,0.5182371,0.8182682,0.7865394,1.522003
0.6736323,-2.026796,-1.989258,-1.686961,-1.874072,-2.250927,-1.056726,-1.996574,-0.6883694,-0.9752479,-1.640288,-2.925054,-1.610757,-2.781233,-2.160411,-1.933204,-2.237368,-1.444838,-0.9343709,-3.768059,-1.859629,0.5602375,0.1387057,1.249563,0.9048367,0.3428698,1.053596,0.4719929,0.5033394,0.6605704,0.4542077,0.8834317,0.9422024,0.4768291,0.4534329,0.6600035,1.055671,0.5130383,0.8033845,0.7835091,1.521559
0.8016314,-2.095907,-2.007078,-1.736867,-1.925814,-2.322893,-1.124289,-2.093534,-0.7047322,-1.073911,-1.654866,-3.020519,-1.6852,-2.916693,-2.281003,-2.00618,-2.4638,-1.488665,-1.038181,-3.920285,-1.946755,0.5696582,0.1386659,1.252845,0.9086646,0.3410583,1.05057,0.4684814,0.5059547,0.6820105,0.4574539,0.8863437,0.9409378,0.4759946,0.443714,0.6578658,1.055414,0.5164934,0.8332031,0.7887525,1.535475
0.9296305,-2.178629,-2.05352,-1.817882,-1.996589,-2.413486,-1.227718,-2.224279,-0.7506753,-1.127058,-1.682646,-3.115152,-1.776174,-3.066807,-2.398105,-2.090182,-2.690135,-1.525615,-1.057782,-4.074336,-2.021398,0.5734326,0.1352078,1.252326,0.9086716,0.340245,1.053037,0.468681,0.5186675,0.6782358,0.4540303,0.8820113,0.9382567,0.4728478,0.4307395,0.6488852,1.049752,0.512184,0.8147936,0.791113,1.535287
1.05763,-2.261054,-2.110615,-1.917834,-2.078847,-2.52335,-1.323794,-2.336805,-0.7872046,-1.250513,-1.752885,-3.230421,-1.870606,-3.223395,-2.524398,-2.20857,-2.905804,-1.576566,-1.113551,-4.233669,-2.102889,0.5777226,0.1362049,1.259238,0.9131668,0.3415928,1.053068,0.4653866,0.5151582,0.7067781,0.4712164,0.8825056,0.9317806,0.4704854,0.4303312,0.6654801,1.047833,0.5143495,0.8154103,0.7941707,1.538007
1.185629,-2.322594,-2.168439,-1.983719,-2.155074,-2.635756,-1.44185,-2.465536,-0.8392151,-1.327272,-1.796129,-3.364135,-1.986759,-3.412888,-2.662647,-2.273158,-3.168274,-1.631653,-1.181129,-4.385674,-2.2153,0.5524375,0.1327642,1.252361,0.9131635,0.3441094,1.057594,0.4660004,0.5177768,0.7019113,0.4606189,0.8816559,0.9300954,0.4699865,0.4243915,0.6405396,1.058172,0.5153737,0.8148923,0.8021148,1.543579
