t_sec,nBack,number,expectedResponse,actualResponse
203.5452,0,2,0,0
205.6581,0,3,0,0
207.7728,0,7,0,0
209.9086,0,0,1,1
212.028,0,2,0,0
214.1454,0,9,0,0
216.2486,0,0,1,1
218.3236,0,0,1,1
220.461,0,0,1,1
222.5708,0,1,0,0
224.6806,0,4,0,0
226.7931,0,9,0,0
228.9173,0,8,0,0
231.0327,0,7,0,0
233.1073,0,0,1,1
235.2193,0,4,0,0
237.3299,0,1,0,0
239.3755,0,0,1,1
241.4854,0,7,0,0
243.5966,0,1,0,0
245.7349,0,0,1,1
247.8458,0,3,0,0
249.9585,0,0,1,1
252.0708,0,1,0,0
254.1968,0,2,0,0
256.3084,0,6,0,0
258.421,0,6,0,0
260.535,0,8,0,0
262.6444,0,5,0,0
264.7527,0,9,0,0
266.8634,0,7,0,0
268.9756,0,2,0,0
271.1063,0,0,1,1
273.2173,0,1,0,0
275.3291,0,9,0,0
277.4006,0,0,1,1
279.4844,0,0,1,1
281.561,0,0,1,1
283.6745,0,3,0,0
285.7845,0,3,0,0
287.8941,0,6,0,0
289.9848,0,0,1,1
292.0949,0,4,0,0
294.2047,0,8,0,0
296.3141,0,8,0,0
298.4236,0,0,1,1
300.5302,0,0,1,1
302.6129,0,0,1,1
304.6685,0,0,1,1
306.7801,0,3,0,0
308.8926,0,7,0,0
311.0043,0,4,0,0
313.0662,0,0,1,1
315.1211,0,0,1,1
317.2334,0,8,0,0
319.3454,0,3,0,0
321.459,0,2,0,0
323.5054,0,0,1,1
325.632,0,0,1,1
327.7468,0,1,0,0
329.8292,0,0,1,1
331.9408,0,6,0,0
334.056,0,4,0,0
336.1657,0,0,1,1
338.2547,0,0,1,1
340.3037,0,0,1,1
342.4178,0,7,0,0
344.5295,0,2,0,0
346.6387,0,5,0,0
348.7506,0,7,0,0
350.9034,0,0,1,1
353.0434,0,0,1,1
355.1471,0,0,1,1
357.2088,0,0,1,1
359.3733,0,0,1,1
361.4848,0,6,0,0
363.5614,0,0,1,1
365.6739,0,9,0,0
367.7854,0,8,0,0
369.899,0,1,0,0
372.0121,0,1,0,0
374.1248,0,9,0,0
376.2365,0,8,0,0
378.345,0,5,0,0
380.456,0,4,0,0
382.5703,0,0,1,1
384.6261,0,0,1,1
386.6979,0,0,1,1
388.8098,0,4,0,0
390.9225,0,1,0,0
393.0339,0,0,1,1
395.1483,0,4,0,0
397.2434,0,0,1,1
399.3563,0,9,0,0
401.4659,0,3,0,0
403.5757,0,2,0,0
405.6891,0,1,0,0
407.8,0,3,0,0
409.8662,0,0,1,1
411.9221,0,0,1,1
444.1562,1,5,0,0
446.2744,1,5,1,1
448.3374,1,5,1,1
450.4843,1,5,1,1
452.5961,1,1,0,0
454.7094,1,5,0,0
456.8202,1,8,0,0
458.93,1,7,0,0
461.0417,1,4,0,0
463.1036,1,4,1,1
465.1468,1,4,1,1
467.2583,1,9,0,0
469.3719,1,8,0,0
471.4839,1,5,0,0
473.5945,1,9,0,0
475.708,1,8,0,0
477.7688,1,8,1,1
479.8792,1,2,0,0
481.9926,1,1,0,0
484.0935,1,1,1,1
486.2072,1,3,0,0
488.3214,1,2,0,0
490.4334,1,1,0,0
492.5454,1,2,0,0
494.6575,1,3,0,0
496.767,1,1,0,0
498.8793,1,4,0,0
500.9933,1,8,0,0
503.1043,1,2,0,0
505.2151,1,1,0,0
507.2704,1,1,1,1
509.3556,1,1,1,1
511.4659,1,2,0,0
513.597,1,2,1,1
515.71,1,8,0,0
517.8374,1,8,1,1
519.9476,1,1,0,0
522.0557,1,7,0,0
524.1685,1,1,0,0
526.2568,1,1,1,1
528.3704,1,4,0,0
530.4815,1,7,0,0
532.5952,1,3,0,0
534.6992,1,3,1,1
536.733,1,3,1,1
538.8465,1,1,0,0
540.9582,1,5,0,0
543.0665,1,5,1,1
545.1752,1,8,0,0
547.2266,1,8,1,1
549.3397,1,3,0,0
551.4522,1,7,0,0
553.5667,1,4,0,0
555.631,1,4,1,1
557.7441,1,9,0,0
559.8578,1,2,0,0
562.011,1,2,1,1
564.1257,1,9,0,0
566.2374,1,7,0,0
568.3492,1,0,0,0
570.4816,1,0,1,1
572.5945,1,6,0,0
574.7102,1,1,0,0
576.8237,1,7,0,0
578.8857,1,7,1,1
581.0057,1,7,1,1
583.1428,1,7,1,1
585.2504,1,1,0,0
587.358,1,6,0,0
589.4699,1,2,0,0
591.581,1,0,0,0
593.6669,1,0,1,1
595.7758,1,5,0,0
597.8372,1,5,1,1
599.9078,1,5,1,1
602.0414,1,5,1,1
604.1523,1,8,0,0
606.2654,1,3,0,0
608.3867,1,3,1,1
610.4929,1,3,1,1
612.6071,1,7,0,0
614.7208,1,8,0,0
616.8322,1,5,0,0
618.9202,1,5,1,1
620.9664,1,5,1,1
623.0504,1,5,1,1
625.1628,1,3,0,0
